t,x0,x1
2.55,0.00623472,0.0318882
2.56,0.00623472,0.0318882
2.57,0.0065536,0.0349745
2.58,0.0065536,0.0349745
2.59,0.00690335,0.0378984
2.6,0.00690335,0.0378984
2.61,0.00728233,0.040649
2.62,0.00728233,0.040649
2.63,0.00768882,0.0432157
2.64,0.00768882,0.0432157
2.65,0.00812098,0.0455889
2.66,0.00812098,0.0455889
2.67,0.00857687,0.0477592
2.68,0.00857687,0.0477592
2.69,0.00905446,0.0497181
2.7,0.00905446,0.0497181
2.71,0.00955164,0.0514579
2.72,0.00955164,0.0514579
2.73,0.0100662,0.0529714
2.74,0.0100662,0.0529714
2.75,0.0105959,0.0542523
2.76,0.0105959,0.0542523
2.77,0.0111385,0.055295
2.78,0.0111385,0.055295
2.79,0.0116914,0.0560947
2.8,0.0116914,0.0560947
2.81,0.0122524,0.0566475
2.82,0.0122524,0.0566475
2.83,0.0128188,0.0569503
2.84,0.0128188,0.0569503
2.85,0.0133883,0.0570009
2.86,0.0133883,0.0570009
2.87,0.0139583,0.0567977
2.88,0.0139583,0.0567977
2.89,0.0145263,0.0563403
2.9,0.0145263,0.0563403
2.91,0.0150897,0.055629
2.92,0.0150897,0.055629
2.93,0.015646,0.0546651
2.94,0.015646,0.0546651
2.95,0.0161927,0.0534505
2.96,0.0161927,0.0534505
2.97,0.0167272,0.0519883
2.98,0.0167272,0.0519883
2.99,0.0172471,0.0502822
3,0.0172471,0.0502822
3.01,0.0177499,0.0483369
3.02,0.0177499,0.0483369
3.03,0.0182332,0.0461579
3.04,0.0182332,0.0461579
3.05,0.0186948,0.0437516
3.06,0.0186948,0.0437516
3.07,0.0191323,0.041125
3.08,0.0191323,0.041125
3.09,0.0195436,0.038286
3.1,0.0195436,0.038286
3.11,0.0199264,0.0352434
3.12,0.0199264,0.0352434
3.13,0.0202789,0.0320066
3.14,0.0202789,0.0320066
3.15,0.020599,0.0285856
3.16,0.020599,0.0285856
3.17,0.0208848,0.0249913
3.18,0.0208848,0.0249913
3.19,0.0211347,0.021235
3.2,0.0211347,0.021235
3.21,0.0213471,0.0173289
3.22,0.0213471,0.0173289
3.23,0.0215204,0.0132854
3.24,0.0215204,0.0132854
3.25,0.0216532,0.00911779
3.26,0.0216532,0.00911779
3.27,0.0217444,0.00483962
3.28,0.0217444,0.00483962
3.29,0.0217928,0.000464938
3.3,0.0217928,0.000464938
3.31,0.0217974,-0.00399181
3.32,0.0217974,-0.00399181
3.33,0.0217575,-0.00851583
3.34,0.0217575,-0.00851583
3.35,0.0216724,-0.013092
3.36,0.0216724,-0.013092
3.37,0.0215414,-0.0177051
3.38,0.0215414,-0.0177051
3.39,0.0213644,-0.0223394
3.4,0.0213644,-0.0223394
3.41,0.021141,-0.0269793
3.42,0.021141,-0.0269793
3.43,0.0208712,-0.0316091
3.44,0.0208712,-0.0316091
3.45,0.0205551,-0.0362128
3.46,0.0205551,-0.0362128
3.47,0.020193,-0.0407747
3.48,0.020193,-0.0407747
3.49,0.0197852,-0.045279
3.5,0.0197852,-0.045279
3.51,0.0193324,-0.04971
3.52,0.0193324,-0.04971
3.53,0.0188353,-0.0540523
3.54,0.0188353,-0.0540523
3.55,0.0182948,-0.0582906
3.56,0.0182948,-0.0582906
3.57,0.0177119,-0.0624099
3.58,0.0177119,-0.0624099
3.59,0.0170878,-0.0663955
3.6,0.0170878,-0.0663955
3.61,0.0164239,-0.0702332
3.62,0.0164239,-0.0702332
3.63,0.0157215,-0.073909
3.64,0.0157215,-0.073909
3.65,0.0149824,-0.0774096
3.66,0.0149824,-0.0774096
3.67,0.0142083,-0.0807221
3.68,0.0142083,-0.0807221
3.69,0.0134011,-0.0838341
3.7,0.0134011,-0.0838341
3.71,0.0125628,-0.0867339
3.72,0.0125628,-0.0867339
3.73,0.0116954,-0.0894105
3.74,0.0116954,-0.0894105
3.75,0.0108013,-0.0918534
3.76,0.0108013,-0.0918534
3.77,0.00988281,-0.094053
3.78,0.00988281,-0.094053
3.79,0.00894228,-0.0960003
3.8,0.00894228,-0.0960003
3.81,0.00798227,-0.0976872
3.82,0.00798227,-0.0976872
3.83,0.0070054,-0.0991065
3.84,0.0070054,-0.0991065
3.85,0.00601434,-0.100252
3.86,0.00601434,-0.100252
3.87,0.00501182,-0.101117
3.88,0.00501182,-0.101117
3.89,0.00400065,-0.101698
3.9,0.00400065,-0.101698
3.91,0.00298367,-0.101991
3.92,0.00298367,-0.101991
3.93,0.00196376,-0.101992
3.94,0.00196376,-0.101992
3.95,0.000943837,-0.101701
3.96,0.000943837,-0.101701
3.97,-7.31753e-05,-0.101116
3.98,-7.31753e-05,-0.101116
3.99,-0.00108434,-0.100237
4,-0.00108434,-0.100237
4.01,-0.0020867,-0.0990648
4.02,-0.0020867,-0.0990648
4.03,-0.00307735,-0.0976017
4.04,-0.00307735,-0.0976017
4.05,-0.00405337,-0.0958503
4.06,-0.00405337,-0.0958503
4.07,-0.00501187,-0.0938147
4.08,-0.00501187,-0.0938147
4.09,-0.00595002,-0.0914994
4.1,-0.00595002,-0.0914994
4.11,-0.00686501,-0.0889103
4.12,-0.00686501,-0.0889103
4.13,-0.00775412,-0.086054
4.14,-0.00775412,-0.086054
4.15,-0.00861466,-0.082938
4.16,-0.00861466,-0.082938
4.17,-0.00944404,-0.0795707
4.18,-0.00944404,-0.0795707
4.19,-0.0102397,-0.0759614
4.2,-0.0102397,-0.0759614
4.21,-0.0109994,-0.07212
4.22,-0.0109994,-0.07212
4.23,-0.0117206,-0.0680576
4.24,-0.0117206,-0.0680576
4.25,-0.0124011,-0.0637857
4.26,-0.0124011,-0.0637857
4.27,-0.013039,-0.0593167
4.28,-0.013039,-0.0593167
4.29,-0.0136322,-0.0546636
4.3,-0.0136322,-0.0546636
4.31,-0.0141788,-0.0498401
4.32,-0.0141788,-0.0498401
4.33,-0.0146772,-0.0448605
4.34,-0.0146772,-0.0448605
4.35,-0.0151258,-0.0397396
4.36,-0.0151258,-0.0397396
4.37,-0.0155232,-0.0344928
4.38,-0.0155232,-0.0344928
4.39,-0.0158681,-0.029136
4.4,-0.0158681,-0.029136
4.41,-0.0161595,-0.0236853
4.42,-0.0161595,-0.0236853
4.43,-0.0163963,-0.0181573
4.44,-0.0163963,-0.0181573
4.45,-0.0165779,-0.012569
4.46,-0.0165779,-0.012569
4.47,-0.0167036,-0.0069374
4.48,-0.0167036,-0.0069374
4.49,-0.016773,-0.00127993
4.5,-0.016773,-0.00127993
4.51,-0.0167858,0.00438596
4.52,-0.0167858,0.00438596
4.53,-0.0167419,0.0100427
4.54,-0.0167419,0.0100427
4.55,-0.0166415,0.0156728
4.56,-0.0166415,0.0156728
4.57,-0.0164848,0.0212586
4.58,-0.0164848,0.0212586
4.59,-0.0162722,0.0267826
4.6,-0.0162722,0.0267826
4.61,-0.0160043,0.0322277
4.62,-0.0160043,0.0322277
4.63,-0.0156821,0.0375767
4.64,-0.0156821,0.0375767
4.65,-0.0153063,0.0428128
4.66,-0.0153063,0.0428128
4.67,-0.0148782,0.0479195
4.68,-0.0148782,0.0479195
4.69,-0.014399,0.0528806
4.7,-0.014399,0.0528806
4.71,-0.0138702,0.0576805
4.72,-0.0138702,0.0576805
4.73,-0.0132934,0.062304
4.74,-0.0132934,0.062304
4.75,-0.0126703,0.0667364
4.76,-0.0126703,0.0667364
4.77,-0.012003,0.0709636
4.78,-0.012003,0.0709636
4.79,-0.0112933,0.0749722
4.8,-0.0112933,0.0749722
4.81,-0.0105436,0.0787495
4.82,-0.0105436,0.0787495
4.83,-0.00975611,0.0822833
4.84,-0.00975611,0.0822833
4.85,-0.00893328,0.0855624
4.86,-0.00893328,0.0855624
4.87,-0.00807765,0.0885764
4.88,-0.00807765,0.0885764
4.89,-0.00719189,0.0913157
4.9,-0.00719189,0.0913157
4.91,-0.00627873,0.0937715
4.92,-0.00627873,0.0937715
4.93,-0.00534101,0.095936
4.94,-0.00534101,0.095936
4.95,-0.00438166,0.0978023
4.96,-0.00438166,0.0978023
4.97,-0.00340363,0.0993645
4.98,-0.00340363,0.0993645
4.99,-0.00240999,0.100618
5,-0.00240999,0.100618
5.01,-0.00140381,0.101558
